Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Personal Data;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Contract;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Inform Supervisory Authority;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Finance;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
General Risk Identification & Assessment;True;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
IT;True;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Pricing;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Stakeholder Assessment;True;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Risk Summary & Approval;True;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Model Risk;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Third-Party Data Processing;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
Communication to Customers;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
End User Computing;False;riskjourneytool change.xlsm;Lenen zakelijk/Z_Other/2022-07-20 Implementation Cocoa frontend in Blend Apply Credit;2025-01-02 11:49:33
