Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Personal Data;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Contract;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Inform Supervisory Authority;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Finance;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
General Risk Identification & Assessment;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
IT;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Pricing;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Stakeholder Assessment;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Risk Summary & Approval;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Model Risk;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Third-Party Data Processing;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
Communication to Customers;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
End User Computing;False;riskjourneytool change3670v2.xlsm;Beleggingsrekeningen/Vermogensbeheer/2025-02-19 Investments CDPM MVP;2025-03-21 08:41:32
