Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Personal Data;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Contract;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Inform Supervisory Authority;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Finance;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
General Risk Identification & Assessment;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
IT;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Pricing;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Stakeholder Assessment;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Risk Summary & Approval;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Model Risk;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Third-Party Data Processing;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
Communication to Customers;True;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
End User Computing;False;riskjourneytool change3564.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-01-22 Eenvoudig Beleggen  excuse email Dec 2024;2025-01-31 07:34:46
