Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Personal Data;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Contract;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Inform Supervisory Authority;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Finance;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
General Risk Identification & Assessment;True;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
IT;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Pricing;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Stakeholder Assessment;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Risk Summary & Approval;True;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Model Risk;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Third-Party Data Processing;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
Communication to Customers;True;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
End User Computing;False;riskjourneytool change3555.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-17 Policy on Successions cases remediation of current population;2025-04-28 11:26:07
