Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Personal Data;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Contract;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Inform Supervisory Authority;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Finance;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
General Risk Identification & Assessment;True;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
IT;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Pricing;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Stakeholder Assessment;True;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Risk Summary & Approval;True;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Model Risk;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Third-Party Data Processing;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
Communication to Customers;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
End User Computing;False;riskjourneytool change3625.xlsm;Hypotheken/Adviesteam Wonen/2025-02-07 Pilot Verhogen telefonisch ATW;2025-04-15 14:18:06
