Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Personal Data;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Contract;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Inform Supervisory Authority;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Finance;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
General Risk Identification & Assessment;True;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
IT;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Pricing;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Stakeholder Assessment;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Risk Summary & Approval;True;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Model Risk;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Third-Party Data Processing;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
Communication to Customers;True;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
End User Computing;False;riskjourneytool change3480.xlsm;Current accounts/Betaalrekening/2024-12-10 PMC recurring income 25 euro december;2024-12-13 11:14:39
