Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Personal Data;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Contract;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Inform Supervisory Authority;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Finance;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
General Risk Identification & Assessment;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
IT;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Pricing;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Stakeholder Assessment;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Risk Summary & Approval;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Model Risk;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Third-Party Data Processing;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
Communication to Customers;True;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
End User Computing;False;riskjourneytool change3724.xlsm;Private Banking _ Wealth/Internetpagina/2025-03-07 Private Markets campaign 2025  website;2025-03-28 16:47:24
