Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Personal Data;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Contract;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Inform Supervisory Authority;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Finance;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
General Risk Identification & Assessment;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
IT;True;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Pricing;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Stakeholder Assessment;True;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Risk Summary & Approval;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Model Risk;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Third-Party Data Processing;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
Communication to Customers;True;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
End User Computing;False;riskjourneytool change3791.xlsm;Hypotheken/Z_Other/2025-03-28 Mortgage Check Improve Event Pension;2025-04-28 16:48:14
