Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Personal Data;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Contract;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Inform Supervisory Authority;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Finance;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
General Risk Identification & Assessment;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
IT;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Pricing;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Stakeholder Assessment;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Risk Summary & Approval;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Model Risk;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Third-Party Data Processing;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
Communication to Customers;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
End User Computing;False;riskjourneytool change3832.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-04-02 Campaign car loan and EV;2025-04-03 09:55:52
