Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Personal Data;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Contract;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Inform Supervisory Authority;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Finance;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
General Risk Identification & Assessment;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
IT;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Pricing;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Stakeholder Assessment;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Risk Summary & Approval;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Model Risk;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Third-Party Data Processing;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
Communication to Customers;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
End User Computing;False;riskjourneytool change3840.xlsm;Beleggingsdiensten/Eenvoudig Beleggen/2025-04-03 Add FAQ about the cashback campaign to meest gestelde vragen page;2025-04-28 13:24:42
