Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Personal Data;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Contract;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Inform Supervisory Authority;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Finance;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
General Risk Identification & Assessment;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
IT;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Pricing;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Stakeholder Assessment;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Risk Summary & Approval;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Model Risk;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Third-Party Data Processing;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
Communication to Customers;True;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
End User Computing;False;riskjourneytool change3613.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-02-05 ESIC Issue PLRS;2025-04-25 09:36:41
