Module Title;Applicable;File;Folder;File date
Customer Suitability;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
General Risk Identification;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
Stakeholder Assessment;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
(Management) Processes;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
ESG;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
Risk Summary & Approval;True;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;Value Risk Journey;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;2024-01-03 Complete Review product;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;Beleggingsrekeningen;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;Eenvoudig Beleggen;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;0;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
;Tribe Investments;riskjourneytool review eb.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2024-01-03 Complete Review product;2024-10-08 11:56:11
