Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Personal Data;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Contract;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Inform Supervisory Authority;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Finance;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
General Risk Identification & Assessment;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
IT;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Pricing;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Stakeholder Assessment;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Risk Summary & Approval;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Model Risk;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Third-Party Data Processing;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
Communication to Customers;True;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
End User Computing;False;riskjourneytool change3658.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-02-17 ING  MC experiment Dinner deal;2025-04-25 16:51:06
