Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Personal Data;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Contract;True;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Inform Supervisory Authority;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Finance;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
General Risk Identification & Assessment;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
IT;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Pricing;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Stakeholder Assessment;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Risk Summary & Approval;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Model Risk;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Third-Party Data Processing;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
Communication to Customers;True;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
End User Computing;False;riskjourneytool change3529.xlsm;Hypotheken/Z_Other/2025-01-09 Play listing Messages with a new mortgage;2025-04-16 08:49:51
