Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Personal Data;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Contract;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Inform Supervisory Authority;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Finance;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
General Risk Identification & Assessment;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
IT;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Pricing;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Stakeholder Assessment;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Risk Summary & Approval;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Model Risk;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Third-Party Data Processing;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
Communication to Customers;True;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
End User Computing;False;riskjourneytool change3599.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-30 I am expat advertorial Feb 2024;2025-02-20 09:48:08
