Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Personal Data;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Contract;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Inform Supervisory Authority;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Finance;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
General Risk Identification & Assessment;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
IT;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Pricing;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Stakeholder Assessment;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Risk Summary & Approval;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Model Risk;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Third-Party Data Processing;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
Communication to Customers;True;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
End User Computing;False;riskjourneytool change3440.xlsm;Digital Sales/Investments - Verdi/2024-11-28 Starterskit in the information corner;2025-01-23 12:59:46
