Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Personal Data;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Contract;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Inform Supervisory Authority;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Finance;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
General Risk Identification & Assessment;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
IT;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Pricing;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Stakeholder Assessment;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Risk Summary & Approval;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Model Risk;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Third-Party Data Processing;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
Communication to Customers;True;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
End User Computing;False;riskjourneytool change3666.xlsm;Hypotheken/Adviesteam Wonen/2025-02-18 Flyer Woonadviseur makelaars;2025-04-08 17:01:55
