Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Personal Data;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Contract;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Inform Supervisory Authority;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Finance;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
General Risk Identification & Assessment;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
IT;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Pricing;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Stakeholder Assessment;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Risk Summary & Approval;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Model Risk;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Third-Party Data Processing;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
Communication to Customers;True;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
End User Computing;False;riskjourneytool change3382.xlsm;Beleggingsrekeningen/Vermogensbeheer/2024-11-15 DPMEB Historical returns widget for ING.nl;2025-04-23 09:29:56
