Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Personal Data;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Contract;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Inform Supervisory Authority;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Finance;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
General Risk Identification & Assessment;True;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
IT;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Pricing;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Stakeholder Assessment;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Risk Summary & Approval;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Model Risk;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Third-Party Data Processing;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
Communication to Customers;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
End User Computing;False;riskjourneytool change3370.xlsm;Cash/Verpakt Storten/2024-11-14 update terms and conditions sealbags;2025-04-16 15:48:25
