Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Personal Data;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Contract;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Inform Supervisory Authority;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Finance;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
General Risk Identification & Assessment;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
IT;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Pricing;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Stakeholder Assessment;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Risk Summary & Approval;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Model Risk;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Third-Party Data Processing;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
Communication to Customers;True;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
End User Computing;False;riskjourneytool change3830.xlsm;Beleggingsrekeningen/Zelf op de Beurs/2025-04-02 Commerciele uitingen ZOB squad Q2 2025;2025-04-02 11:59:30
