Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Personal Data;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Contract;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Inform Supervisory Authority;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Finance;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
General Risk Identification & Assessment;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
IT;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Pricing;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Stakeholder Assessment;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Risk Summary & Approval;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Model Risk;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Third-Party Data Processing;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
Communication to Customers;True;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
End User Computing;False;riskjourneytool change3719.xlsm;Digital Sales/Investments - Verdi/2025-03-06 Ghost account investments with disclaimer;2025-03-17 15:25:29
