Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Personal Data;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Contract;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Inform Supervisory Authority;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Finance;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
General Risk Identification & Assessment;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
IT;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Pricing;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Stakeholder Assessment;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Risk Summary & Approval;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Model Risk;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Third-Party Data Processing;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
Communication to Customers;True;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
End User Computing;False;riskjourneytool change.xlsm;Z_Other/Tribe Daily Banking & Digital First/2022-08-24 MT16 (Minors Turning 16);2022-09-13 16:41:23
