Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Personal Data;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Contract;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Inform Supervisory Authority;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Finance;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
General Risk Identification & Assessment;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
IT;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Pricing;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Stakeholder Assessment;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Risk Summary & Approval;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Model Risk;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Third-Party Data Processing;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
Communication to Customers;True;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
End User Computing;False;riskjourneytool change3443.xlsm;Digital Sales/Investments - Verdi/2024-12-02 Pmax campaign for investments;2025-01-07 17:02:17
