Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Personal Data;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Contract;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Inform Supervisory Authority;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Finance;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
General Risk Identification & Assessment;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
IT;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Pricing;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Stakeholder Assessment;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Risk Summary & Approval;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Model Risk;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Third-Party Data Processing;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
Communication to Customers;True;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
End User Computing;False;riskjourneytool change3427.xlsm;Digital Sales/Consumer Loans/2024-11-26 Loans  SEO optimized pages;2024-12-13 13:05:48
