Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Personal Data;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Contract;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Inform Supervisory Authority;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Finance;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
General Risk Identification & Assessment;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
IT;True;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Pricing;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Stakeholder Assessment;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Risk Summary & Approval;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Model Risk;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Third-Party Data Processing;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
Communication to Customers;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
End User Computing;False;riskjourneytool change3589.xlsm;Lenen zakelijk/Z_Other/2025-01-28 PAIS database  Sustainable loan flagging;2025-04-14 13:59:28
