Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Personal Data;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Contract;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Inform Supervisory Authority;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Finance;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
General Risk Identification & Assessment;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
IT;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Pricing;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Stakeholder Assessment;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Risk Summary & Approval;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Model Risk;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Third-Party Data Processing;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
Communication to Customers;True;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
End User Computing;False;riskjourneytool change3792.xlsm;Hypotheken - WUB/Unsecured mailen/2025-03-28 Emailadressen uit communicatie Stater verwijderen;2025-04-14 18:42:35
