Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Personal Data;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Contract;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Inform Supervisory Authority;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Finance;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
General Risk Identification & Assessment;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
IT;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Pricing;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Stakeholder Assessment;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Risk Summary & Approval;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Model Risk;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Third-Party Data Processing;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
Communication to Customers;True;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
End User Computing;False;riskjourneytool change3400.xlsm;Digital Sales/Investments - Verdi/2024-11-19 Showing returns in table on EB PDP;2024-11-28 15:17:08
