Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Personal Data;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Contract;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Inform Supervisory Authority;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Finance;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
General Risk Identification & Assessment;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
IT;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Pricing;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Stakeholder Assessment;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Risk Summary & Approval;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Model Risk;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Third-Party Data Processing;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
Communication to Customers;True;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
End User Computing;False;riskjourneytool change3737.xlsm;Beleggingsrekeningen/Eenvoudig Beleggen/2025-03-13 Onboarding fallout retarget survey;2025-04-23 10:53:04
