Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Personal Data;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Contract;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Inform Supervisory Authority;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Finance;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
General Risk Identification & Assessment;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
IT;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Pricing;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Stakeholder Assessment;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Risk Summary & Approval;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Model Risk;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Third-Party Data Processing;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
Communication to Customers;True;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
End User Computing;False;riskjourneytool change3546.xlsm;Private Banking _ Wealth/Z_Other/2025-01-15 Uitnodiging Private Markets event  ING x KKR;2025-02-28 06:38:53
