Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Personal Data;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Contract;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Inform Supervisory Authority;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Finance;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
General Risk Identification & Assessment;True;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
IT;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Pricing;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Stakeholder Assessment;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Risk Summary & Approval;True;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Model Risk;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Third-Party Data Processing;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
Communication to Customers;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
End User Computing;False;riskjourneytool change3648.xlsm;Current accounts/Betaalrekening/2025-02-13 Removal ECO3 and ECO4 checks;2025-03-17 19:12:34
